"","dist","adjusted_ppm","Totalflux_umolpers","Wetland","Wetland_4","shape","Remove","Totalfux_gpers"
"50",110.1921652,4894.492681,8.97310616,"ANTE","ANTE",NA,NA,0.00039481667104
"51",0,NA,0.089901514,"ANTE","ANTE",NA,NA,3.955666616e-06
"52",137.6898395,544.0804486,57.73953225,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.002540539419
"53",3.043758344,566.4882038,0.30702883,"Gavi-mainstem","Gavi-mainstem",NA,NA,1.350926852e-05
"54",101.1217373,619.022998,51.50746892,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.00226632863248
"55",161.9119878,496.5489676,60.09346915,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0026441126426
"56",54.1434052,788.703259,16.07052172,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.00070710295568
"57",219.3833764,789.0074568,67.17646907,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.00295576463908
"58",247.8121141,811.6096596,67.17646907,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.00295576463908
"59",179.6446348,924.8185183,67.17646907,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.00295576463908
"60",131.2083596,921.9810527,57.65781727,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.00253694395988
"61",71.25378084,1111.944302,45.63476455,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0020079296402
"62",102.5957333,1215.550548,52.36571557,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.00230409148508
"63",209.8900981,1407.279904,67.17646907,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.00295576463908
"64",19.106936,1556.697444,13.30866492,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.00058558125648
"65",174.9453207,NA,66.6892158,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0029343254952
"66",1059.218742,443.9843501,276.4872894,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0121654407336
"67",1028.845743,466.8255368,276.1727156,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0121515994864
"68",1051.743607,475.4753116,276.4872894,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0121654407336
"69",986.5435796,537.6402185,246.1685259,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0108314151396
"70",987.7886879,567.7224979,248.434002,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.010931096088
"71",942.7503274,577.62168,242.7033531,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0106789475364
"72",933.0006551,583.1253581,237.4129737,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0104461708428
"73",908.6259036,605.5399379,225.5606909,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0099246703996
"74",883.9961547,605.5983241,222.598178,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.009794319832
"75",668.2828087,760.3268293,139.3924654,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0061332684776
"76",640.9930065,794.6122934,127.8322387,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0056246185028
"77",769.4444454,859.3492507,189.3181805,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.008329999942
"78",622.284922,899.4165224,109.9561694,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0048380714536
"79",696.8330336,920.4262494,140.4704582,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0061807001608
"80",720.3990958,1095.07967,148.0106213,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0065124673372
"81",793.5283416,1183.100985,207.7806681,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0091423493964
"82",837.467801,1485.95789,218.4053623,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0096098359412
"83",861.7144008,1715.493786,222.3291193,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0097824812492
"84",601.8355694,1758.938182,108.098001,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.004756312044
"85",596.2797799,2236.719952,106.6996184,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0046947832096
"86",571.0524416,4817.05608,101.3222347,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.0044581783268
"87",548.1782515,7288.120455,95.01261753,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.00418055517132
"88",523.5859696,7591.788998,82.43306246,"Gavi-mainstem","Gavi-mainstem",NA,NA,0.00362705474824
"89",0,NA,0,"ANTE","ANTE","shape",NA,0
"90",7.278141675,5341.61136,2.1363214845,"ANTE","ANTE","shape",NA,9.3998145318e-05
"91",21.73008349,1276.566228,4.3458085625,"ANTE","ANTE","shape",NA,0.00019121557675
"92",35.51271783,1132.429194,4.621613037,"ANTE","ANTE","shape",NA,0.000203350973628
"93",44.293545545,11459.57361,4.734350404,"ANTE","ANTE","shape",NA,0.000208311417776
